user name,user Url,city,Contribution,review Title,review Url,Review Details,expe date
Varana Oshadha wrote a review Sep 2020,/Profile/varanao,,1 contribution,Hospitality at its best !!!,/ShowUserReviews-g616035-d2664481-r772122356-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"Great Hospitality, Excellent Food and heavenly surrounding. Loved our 1st wedding anniversary stay at 98 acres which will be unforgettable for the rest of our lives. Thanking the management and the hotel staff for all surprises given.",Date of stay: September 2020
LayanAsiri wrote a review Sep 2020,/Profile/LayanAsiri,"Singapore, Singapore",52 contributions,“Timeless elegance in a relaxing setting”,/ShowUserReviews-g616035-d2664481-r772100585-98_Acres_Resort_and_Spa-Ella_Uva_Province.html," Our long waited stay at this Resort was an excellent break from stress . We stayed in superior deluxe room face to very scenic views of great little Adam's peak & Ella rock the views and cool fresh breeze from the mountain rage were splendid! Beyond the relaxing atmosphere of the villa located in a british tea state , the next best part was the fantastic top class food and excellent service at the Restaurant. The menu has a great variety of food choices and the preparation made for superior tasting. The staff was very attentive, professional and friendly. The views from the room were gorgeous, loved having a roomy balcony in which to wind down after a day of tea, walking on the  tea tails or relaxing by the gorgeous infinity pool and lot of activities like megaziplone ,ATV…",Date of stay: September 2020
madawa a wrote a review Sep 2020,/Profile/madawaa2020,Sri Lanka,4 contributions,Great hospitality,/ShowUserReviews-g616035-d2664481-r772036851-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,You already now how wonderfull place is 98 acres... But to take the maximum out of it take the service from Mr. Taraka (Ruchira)... He will offer you a grest service with home made hospitality... Truely i had a wonderfull time at there..,Date of stay: September 2020
AselaDeSilva wrote a review Sep 2020,/Profile/AselaDeSilva,"Ambalangoda, Sri Lanka",27 contributions,Most beautiful hotel in SL,/ShowUserReviews-g616035-d2664481-r770850807-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"We have visited on 23 & 24 July 2020. The view was breathtaking and everything was very simple super clean!! Mr Amal give us a warm welcome and he is a very nice guy who has become friends in no time!  Mr Chinthana at the restaurant give us a marvelous presentation together with his wonderful smile!! Food was delicious and we have enjoyed every bit of it!! Also I must thank Mr chanaka always there for us, his staff Mr.Isuru has found my wife’s engagement ring which was left in the room when we are leaving. That ring was priceless to us big thanks goes to him!! I personally recommend this place to everyone  “the paradise is Sri Lanka”. ",Date of stay: July 2020
Sithmi P wrote a review Sep 2020,/Profile/sithmip,,13 contributions,Wonderful experience with an amazing view,/ShowUserReviews-g616035-d2664481-r770674283-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"We spent one night here with family and I must say, everything was excellent.Rooms and food was great, the view is breathtaking and the staff is very friendly. Overall great service. One of the best places in Ella.Hoping to visit again. Special thanks to everyone who helped us to make our stay wonderful.",Date of stay: September 2020
Nipun Pathirana wrote a review Sep 2020,/Profile/hash2u,"Colombo, Sri Lanka",67 contributions,Fabulous!,/ShowUserReviews-g616035-d2664481-r770083091-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"We stayed at GE suite for one night at 98, to be honest everything was perfect! The view is unique and beautiful, calm and quiet surrounding and stunning private pool. Food is delicious and the service is very heart touching...Specially the butler we had, hats off to him! So polite and was nice to us during the whole stay. Food also delicious and looking good all the time. Super comfy bed and the spacious bathroom is a plus point for anyone who wants to stay with 98. Had an unforgettable experience and we love it!",Date of stay: July 2020
nipunal84 wrote a review Sep 2020,/Profile/nipunal84,"Colombo, Sri Lanka",4 contributions,Love this place a lot,/ShowUserReviews-g616035-d2664481-r769506220-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"Amazing hotel to tell the least. Located in a perfect location. Rooms are so spacious and decorated really well. Rooms have a balcony facing to the mountains and more than enough space inside also.Staff is friendly and very polite. This is a perfect location for honeymooners as you have so much freedom here.Must mention Mr Upul (SPA Manager) and our butler Mr Pushpakumara, Mr Mangala who took good care of us.We had a great stay and will be back for sure.",Date of stay: September 2020
Insha Pietersz wrote a review Sep 2020,/Profile/inshap,,10 contributions,Don’t use privet pool !! ,/ShowUserReviews-g616035-d2664481-r768998273-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,Don’t use privet pool of their honeymoon villas. I think they don’t chlorine or clean well. I had a small pool bath on 12th of October 2019 and I started having a slight fever on the same day evening. And the next day the i got high fever and the whole body was in pain. Strait away admitted to the nawaloka hospital of Sri Lanka. And dr chandima de mel diagnosed its a germ call mycoplasma had infected me through the pool. I had to stay for a one week at the hospital to recover. Food was ok. Scenery was brilliant. Rooms are good. Good staff. But don’t use the pool.,Date of stay: October 2019
Kasun Samarasiri wrote a review Sep 2020,/Profile/kasunts,"Moratuwa, Sri Lanka",1 contribution,Best place for spending honeymoon in Sri Lanka,/ShowUserReviews-g616035-d2664481-r768871430-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"It was quite an amazing experience for us to spend our honeymoon at 98 acres from 11th to 13th of August 2020. 1. Beautiful locationThe view is unique and beautiful; and the location is very calm and quiet. 2. Healthy climateThe climate in Ella is not too cold. Therefore it is a very healthy climate to go outings at anytime.3. Outstanding serviceThe staff was friendly and helpful. They've surprised us with their own unique gifts.4. Very Good Road ConditionMost of the very beautiful hotels are very hard to reach. But 98 acres car park is closer to the road. They're providing transport inside the hotel for free of charge. 5. Lot of laces to visit from thereHence it was our honeymoon, we have visited only ""Little Adam's Peak"" and ""9 Arch Bride"" from there. 6. Adventure Sports (have to pay seperately)You can do activities like zipline, abseiling, archery, air rifling, and may more from there. 7. Surprise giftsI've heard that 98 acres staff is arranging surprises for special occasions of the guests if they've informed before. That was a surprise even for me, whom booked the hotel.Thank you very much for making our honeymoon a wonderful and unforgettable experience.B.K.T. Samarasiri05/09/2020",Date of stay: August 2020
nishani j wrote a review Aug 2020,/Profile/843nishanij,,3 contributions,Amazing with natural beauty,/ShowUserReviews-g616035-d2664481-r768039791-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"We  enjoyed a two night stay at 98 acres, Ella which is located in a tea estate surrounded by  misty mountains.  Lot of flower trees in the hotel premises as well as in the vicinity.  Rooms are very spacious and comfortable. Food is very delicious. Staff is very friendly specially at the Restaurant. Thank you for your super service.  We visited the Flying Rawana adventure site and nine arch bridge. Rawana Ella is also close by. Very good hotel to relax.",Date of stay: August 2020
Chamod C wrote a review Aug 2020,/Profile/chmod90,"Colombo, Sri Lanka",8 contributions,Amazing hotel in Ella,/ShowUserReviews-g616035-d2664481-r765697538-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,This is a really amazing hotel full of natural beauty. We were in Premium deluxe room with the view of Mini Adams peak and Ella gap. Me and wife enjoyed the stay there a lot. Rain shower by looking at the Ella gap was amazing. You have provided an excellent service. And food was really tasty and we both specially like the desert called creme brûlée.We have missed spa facilities. Planning to try it next time.,Date of stay: August 2020
